job_id,part_id,status,current_location,last_completion_time,total_operations,completed_operations,current_operation,progress,remaining_operations,machine,queue_type
J7,P7,DONE,,419.0,3,3,,1.0,0,M1,finished
J22,P22,DONE,,805.0,5,5,,1.0,0,M1,finished
J39,P39,DONE,,1046.0,4,4,,1.0,0,M1,finished
J16,P16,DONE,,1077.0,4,4,,1.0,0,M1,finished
J8,P8,DONE,,1333.0,4,4,,1.0,0,M1,finished
J13,P13,DONE,,1385.0,5,5,,1.0,0,M1,finished
J40,P40,DONE,,1415.0,3,3,,1.0,0,M1,finished
J37,P37,DONE,,1446.0,3,3,,1.0,0,M1,finished
J9,P9,DONE,,1502.0,5,5,,1.0,0,M1,finished
J6,P6,DONE,,1533.0,3,3,,1.0,0,M1,finished
J26,P26,DONE,,1684.0,3,3,,1.0,0,M1,finished
J1,P1,DONE,,1714.0,5,5,,1.0,0,M1,finished
J27,P27,DONE,,1740.0,4,4,,1.0,0,M1,finished
J15,P15,DONE,,1766.0,5,5,,1.0,0,M1,finished
J29,P29,DONE,,1853.0,5,5,,1.0,0,M1,finished
J28,P28,DONE,,1884.0,5,5,,1.0,0,M1,finished
J20,P20,DONE,,1915.0,5,5,,1.0,0,M1,finished
J18,P18,DONE,,837.3000000000095,3,3,,1.0,0,M2,finished
J23,P23,DONE,,899.30000000001,3,3,,1.0,0,M2,finished
J24,P24,DONE,,955.3000000000116,4,4,,1.0,0,M2,finished
J14,P14,DONE,,1078.3000000000134,3,3,,1.0,0,M2,finished
J17,P17,DONE,,1104.3000000000134,3,3,,1.0,0,M2,finished
J21,P21,DONE,,1223.6000000000085,3,3,,1.0,0,M2,finished
J10,P10,DONE,,1283.6000000000085,5,5,,1.0,0,M2,finished
J32,P32,DONE,,1361.7999999999965,5,5,,1.0,0,M2,finished
J33,P33,DONE,,1529.899999999992,3,3,,1.0,0,M2,finished
J3,P3,DONE,,1585.899999999992,4,4,,1.0,0,M2,finished
J31,P31,DONE,,1618.0999999999872,4,4,,1.0,0,M2,finished
J34,P34,DONE,,1678.0999999999872,3,3,,1.0,0,M2,finished
J4,P4,DONE,,1741.0999999999872,3,3,,1.0,0,M2,finished
J12,P12,DONE,,1844.5999999999822,5,5,,1.0,0,M2,finished
J35,P35,DONE,,1906.5999999999822,5,5,,1.0,0,M2,finished
J5,P5,DONE,,677.3000000000059,3,3,,1.0,0,M4,finished
J30,P30,DONE,,1024.300000000013,3,3,,1.0,0,M4,finished
J36,P36,DONE,,1117.8000000000113,4,4,,1.0,0,M4,finished
J19,P19,DONE,,1478.599999999995,5,5,,1.0,0,M4,finished
J2,P2,DONE,,1648.2999999999888,5,5,,1.0,0,M4,finished
J11,P11,DONE,,1674.2999999999888,4,4,,1.0,0,M4,finished
J25,P25,DONE,,1797.0999999999826,5,5,,1.0,0,M4,finished
J38,P38,DONE,,1559.4999999999932,3,3,,1.0,0,M5,finished
